Open,Symbol,Position ID,Type,Volume,Price,S/L,T/P,Close,Close Price,P/L,Change
"
Jan 29, 2025 @ 15:03:06",US30,7277816997840706915,Buy,0.01,44761.94,44756.31,44908.76,"Jan 29, 2025 @ 15:03:11",44756.31,-$9.00,-0.01%
"
Jan 29, 2025 @ 15:00:24",US30,7277816997840706873,Buy,0.01,44809.84,n/a,n/a,"Jan 29, 2025 @ 15:01:10",44775.34,-$36.00,-0.08%
"
Jan 29, 2025 @ 14:55:23",US30,7277816997840706758,Buy,0.01,44817.95,44788.95,44891.54,"Jan 29, 2025 @ 14:56:51",44788.95,-$28.00,-0.06%
"
Jan 29, 2025 @ 09:35:21",US30,7277816997840694824,Buy,0.01,44905.71,44875.71,44935.71,"Jan 29, 2025 @ 09:39:44",44948.08,$44.00,0.09%
"
Jan 28, 2025 @ 09:47:26",US30,7277816997840669507,Sell,0.01,44695.34,n/a,n/a,"Jan 28, 2025 @ 09:53:15",44693.34,$1.00,0.00%
"
Jan 28, 2025 @ 09:46:20",US30,7277816997840669327,Sell,0.01,44732.34,n/a,n/a,"Jan 28, 2025 @ 09:46:36",44713.34,$19.00,0.04%
"
Jan 28, 2025 @ 09:38:19",US30,7277816997840668427,Buy,0.01,44781.34,n/a,n/a,"Jan 28, 2025 @ 09:44:51",44751.34,-$31.00,-0.07%
"
Jan 28, 2025 @ 09:35:56",US30,7277816997840668157,Buy,0.01,44786.37,44756.37,44876.37,"Jan 28, 2025 @ 09:37:17",44756.37,-$32.00,-0.07%
"
Jan 28, 2025 @ 09:34:35",US30,7277816997840667908,Buy,0.01,44793.34,n/a,n/a,"Jan 28, 2025 @ 09:34:38",44792.34,-$1.00,-0.00%
"
Jan 27, 2025 @ 09:41:23",US30,7277816997840640585,Buy,0.01,44329.35,n/a,n/a,"Jan 27, 2025 @ 09:42:28",44349.35,$18.50,0.05%
"
Jan 27, 2025 @ 09:30:55",US30,7277816997840639335,Buy,0.01,44250.35,n/a,n/a,"Jan 27, 2025 @ 09:31:19",44276.35,$23.00,0.06%
"
Jan 27, 2025 @ 09:30:06",US30,7277816997840639118,Sell,0.01,44113.23,44143.23,44083.23,"Jan 27, 2025 @ 09:30:12",44143.23,-$39.00,-0.07%
"
Jan 24, 2025 @ 12:13:19",US30,7277816997840611928,Buy,0.01,44531.35,n/a,n/a,"Jan 24, 2025 @ 12:22:30",44549.34,$17.99,0.04%
"
Jan 24, 2025 @ 09:35:24",US30,7277816997840605210,Buy,0.01,44513.14,44483.14,44582.83,"Jan 24, 2025 @ 09:38:31",44534.35,$21.00,0.05%
"
Jan 23, 2025 @ 10:24:38",US30,7277816997840582235,Buy,0.01,44267.35,n/a,n/a,"Jan 23, 2025 @ 10:45:32",44337.04,$72.00,0.16%
"a
Jan 23, 2025 @ 09:37:12",US30,7277816997840579435,Buy,0.01,44274.35,n/a,n/a,"Jan 23, 2025 @ 09:41:10",44290.35,$15.00,0.04%
"
Jan 23, 2025 @ 09:30:02",US30,7277816997840578542,Sell,0.01,44204.4,44228.4,44179.4,"Jan 23, 2025 @ 09:30:58",44228.4,-$19.00,-0.05%
"
Jan 22, 2025 @ 16:05:21",US30,7277816997840564872,Sell,0.01,44179.83,44213.38,44112.49,"Jan 22, 2025 @ 16:14:51",44173.35,$7.00,0.01%
"
Jan 22, 2025 @ 15:12:51",US30,7277816997840564271,Sell,0.01,44228.35,44258.35,44028.35,"Jan 22, 2025 @ 15:31:02",44200.35,$28.00,0.06%
"
Jan 22, 2025 @ 15:10:24",US30,7277816997840564244,Buy,0.01,44243.35,n/a,n/a,"Jan 22, 2025 @ 15:19:08",44213.35,-$30.00,-0.07%
"
Jan 22, 2025 @ 14:20:37",US30,7277816997840563645,Buy,0.01,44184.35,n/a,n/a,"Jan 22, 2025 @ 14:22:58",44187.35,$2.00,0.01%
"
Jan 22, 2025 @ 14:17:54",US30,7277816997840563618,Sell,0.01,44159.35,n/a,n/a,"Jan 22, 2025 @ 14:19:51",44176.35,-$17.00,-0.04%
"
Jan 22, 2025 @ 09:30:03",US30,7277816997840554602,Sell,0.01,44214.35,44241.19,44157.92,"Jan 22, 2025 @ 09:32:14",44166.85,$47.50,0.11%
"
Jan 21, 2025 @ 14:12:03",US30,7277816997840538461,Sell,0.01,44001.35,44030.19,43912.57,"Jan 21, 2025 @ 14:38:02",43961.35,$40.00,0.09%
"
Jan 21, 2025 @ 13:14:32",US30,7277816997840537509,Sell,0.01,43979.35,n/a,n/a,"Jan 21, 2025 @ 13:15:51",43988.35,-$9.00,-0.02%
"
Jan 21, 2025 @ 13:08:37",US30,7277816997840537374,Buy,0.01,43996.35,n/a,n/a,"Jan 21, 2025 @ 13:14:27",43977.35,-$19.00,-0.04%
"
Jan 21, 2025 @ 13:05:20",US30,7277816997840537297,Sell,0.01,43974.35,44001.32,43920.26,"Jan 21, 2025 @ 13:08:04",43994.35,-$20.00,-0.05%
"
Jan 21, 2025 @ 12:43:06",US30,7277816997840536810,Sell,0.01,43975.35,n/a,n/a,"Jan 21, 2025 @ 12:46:34",43988.35,-$13.00,-0.03%
"
Jan 21, 2025 @ 12:36:03",US30,7277816997840536650,Sell,0.01,43985.35,n/a,n/a,"Jan 21, 2025 @ 12:37:57",43980.35,$5.00,0.01%
"
Jan 17, 2025 @ 13:43:13",US30,7277816997840486731,Sell,0.01,43577.36,n/a,n/a,"Jan 17, 2025 @ 14:08:34",43556.36,$21.00,0.05%
